Id_Suspension,Id_Contrato,Oficio_Suspension,Fecha_Suspension,Observaciones_Suspension,Oficio_Reinicio,Fecha_Reinicio,Observaciones_Reinicio,Fecha_Nuevo_Termino,Fecha_Oficio_Suspension,Fecha_Oficio_Reinicio
13,285,DGOP/CT/088/16,16/12/2016 00:00,SE ENVÍA A ADMINISTRATIVO PARA SU CONTROL Y ARCHIVO,DGOP/CT/088/16,06/03/2017 00:00,SE TRAMITA Y SE ENVÍA ADMÓN PARA SU CONTROL Y ARCHIVO. REINICIO Y 1A PRORROGA,27/05/2017 00:00,16/12/2016 00:00,27/02/2017 00:00
14,343,DGOP/CT/009/17,03/02/2017 00:00,SE ENVÍA A ADMINISTRATIVO PARA SU CONTROL Y ARCHIVO,DGOP/CT/009/17,26/06/2017 00:00,SE ENVÍA A ADMINISTRATIVO PARA SU CONTROL Y ARCHIVO,23/07/2017 00:00,03/02/2017 00:00,26/06/2017 00:00
15,311,DGOP/CT/005/17,25/01/2017 00:00,SE ENVÍA A ADMINISTRATIVO PARA SU CONTROL Y ARCHIVO,DGOP/CT/005/16,05/04/2017 00:00,SE TRAMITA Y SE ENVÍA PARA SU CONTROL Y ARCHIVO ,06/06/2017 00:00,25/01/2017 00:00,05/04/2017 00:00
16,319,DGOP/CT/013/17,18/02/2017 00:00,SE ENVÍA A ADMINISTRATIVO PARA SU CONTROL Y ARCHIVO,DGOP/CT/013/17,01/05/2017 00:00,SE TRAMITA Y SE ENVÍA ADMÓN PARA SU CONTROL Y ARCHIVO. ,29/05/2017 00:00,20/02/2017 00:00,02/05/2017 00:00
17,96,DGOP/ML/1968/2016,30/11/2016 00:00,FALTA DE VALIDACIÓN DE PROYECTOS HIDROSANITARIOS CON EL SAPAL,DGOP/ML/0291/2017,24/02/2017 00:00,NINGUNA,01/03/2017 00:00,30/11/2016 00:00,24/02/2017 00:00
19,342,S/N,20/12/2016 00:00,se suspende por que el expediente ingreso al INAH ,S/N,28/03/2017 00:00,Autorización INAH,03/04/2015 00:00,20/12/2016 00:00,28/03/2017 00:00
20,298,S/N,04/01/2017 00:00,EN ESPERA DE VISTO BUENO POR PARTE DEL INAH,S/N,28/03/2017 00:00,AUTORIZACIÓN INAH,03/04/2017 00:00,04/01/2017 00:00,28/03/2017 00:00
21,219,DGOP/ML/252/2017,31/01/2017 00:00,NO SE A DADO RESPUESTA  DEL RESOLUTIVO POR PARTE DE LA SEMARNAT ,DGOP/ML/803/2017,04/05/2017 00:00,SE ENTREGÓ EL RESOLUTIVO POR PARTE DE SEMARNAT,08/05/2017 00:00,31/01/2017 00:00,04/05/2017 00:00
22,220,DGOP/ML/252/2017,31/01/2017 00:00,NO SE A DADO RESPUESTA DEL RESOLUTIVO POR PARTE DE LA SEMARNAT,DGOP/ML/803/2017,04/05/2017 00:00,SE ENTREGÓ EL RESOLUTIVO POR PARTE DE LA SEMARNAT,08/05/2017 00:00,31/01/2017 00:00,04/05/2017 00:00
23,231,DGOP/ML/2801/2016,23/12/2016 00:00,MARCELA,DGOP/ML/1074/2017,02/06/2017 00:00,MARCE 05/07/2017,02/06/2017 00:00,23/12/2016 00:00,02/06/2017 00:00
24,289,DGOP/CT/025/17,07/04/2017 00:00,SE ENVÍA A ADMINISTRATIVO PARA SU CONTROL Y ARCHIVO,DGOP/CT/025/17,05/06/2017 00:00,SE TRAMITA Y SE ENVÍA ADMÓN PARA SU CONTROL Y ARCHIVO. ,08/06/2017 00:00,07/04/2017 00:00,05/06/2017 00:00
25,537,DGOP/CT/025/17,07/04/2017 00:00,SE ENVÍA A ADMINISTRATIVO PARA SU CONTROL Y ARCHIVO,DGOP/CT/025/17,05/06/2017 00:00,SE TRAMITA Y SE ENVÍA ADMÓN PARA SU CONTROL Y ARCHIVO. ,08/06/2017 00:00,07/04/2017 00:00,05/06/2017 00:00
26,121,DGOP/CT/019/17,06/03/2017 00:00,SE ENVÍA A ADMINISTRATIVO PARA SU CONTROL Y ARCHIVO,DGOP/CT/019/17,26/06/2017 00:00,SE TRAMITA Y SE ENVIA ADMON. PARA SU CONTROL Y ARCHIVO ,28/09/2017 00:00,06/03/2017 00:00,03/07/2017 00:00
27,134,DGOP/ML/253/2017,23/01/2017 00:00,ESTA EN LA ESPERA DEL RESOLUTIVO DEL MIA POR PARTE DE SEMARNAT,,09/10/2017 00:00,,01/01/2015 00:00,23/01/2017 00:00,09/10/2017 00:00
28,40,DGOP/ML/1966/2016,14/12/2016 00:00,NO SE HAN DEFINIDO LAS ACCIONES PARA DETERMINAR LOS TRABAJOS PARA LA SHCP,13/02/2018,13/02/2018 00:00,NINGUNA,02/03/2018 00:00,14/12/2016 00:00,13/02/2018 00:00
29,174,DGOP/ML/1967/2016,23/12/2016 00:00,SE ESPERA LA RESOLUCIÓN DE SEMARNAT,ACTA CIRCUNSTANCIADA DE TERMINACIÓN ANTICIPADA,19/02/2019 00:00,SE REALIZA TERMINACIÓN ANTICIPADA DE MUTUO ACUERDO YA QUE NO ES POSIBLE CONTINUAR CON LAS AUTORIZACIONES Y TRÁMITES NECESARIOS,19/02/2019 00:00,23/12/2016 00:00,19/02/2019 00:00
30,87,DGOP/ML/1839/2017,09/01/2017 00:00,NO SE HA DEFINIDO Y/O ASIGNADO LA MODALIDAD PARA PRESENTAR EL MIA POR PARTE DEL INSTITUTO DE ECOLOGÍA. NO SE CUENTA CON RESPUESTA POR PARTE DE CONAGUA (DELIMITACIÓN ZONA FEDERAL) Y SEMARNAT (ESPERA DE RESOLUTIVO),,11/10/2017 00:00,,01/01/2015 00:00,09/01/2017 00:00,11/10/2017 00:00
31,88,DGOP/ML/1839/2017,09/01/2017 00:00,NO SE HA DEFINIDO Y/O ASIGNADO LA MODALIDAD PARA PRESENTAR EL MIA POR PARTE DEL INSTITUTO DE ECOLOGÍA.NO SE CUENTA CON RESPUESTA CON CONAGUA (DELIMITACIÓN DE ZONA FEDERAL) Y SEMARNAT (RESOLUTIVO),,11/10/2017 00:00,,01/01/2015 00:00,09/01/2017 00:00,11/10/2017 00:00
34,480,DGOP/CT/024/17,06/04/2017 00:00,DEBIDO A LA ELEBORACION DEL PROYECTO ELECTRICO PARA EL AREA DE EJERCITADORES ,DGOP/SUP/1837/2017,04/09/2017 00:00,,17/09/2017 00:00,06/04/2017 00:00,15/09/2017 00:00
35,306,DGOP/CT/035/17,31/05/2017 00:00,SE ENVÍA A ADMINISTRATIVO PARA SU CONTROL Y ARCHIVO,DGOP/CT/035/17,02/10/2017 00:00,SE ENVÍA A ADMINISTRATIVO PARA SU CONTROL Y ARCHIVO REINICIO Y 2A PRORROGA,15/12/2017 00:00,31/05/2017 00:00,02/10/2017 00:00
36,221,DGOP/CT/053/16,15/09/2016 00:00,--,DGOP/CT/053/16,09/10/2017 00:00,SE LIBERA ROLUTIVO,26/12/2017 00:00,14/09/2016 00:00,09/10/2017 00:00
37,339,DGOP/CT/027/17,10/04/2017 00:00,PENDIENTE DEFINIR EXCEDENTE,DGOP/CT/027/17,17/08/2017 00:00,POR RECEPCIÓN DE LUMINARIAS,25/08/2017 00:00,10/04/2017 00:00,17/08/2017 00:00
38,254,DGOP/CT/0001/2017,07/07/2017 00:00,INDEFINICIÓN SEÑALETICA DE SISTEMA CONTRA-INCENDIO,DGOP/CT/0001/2017,13/11/2017 00:00,,14/11/2017 00:00,07/07/2017 00:00,13/11/2017 00:00
39,310,DGOP/CT/015/17,15/02/2017 00:00,debido a los trabajos de rehabilitación de lineas de agua tratada y drenaje industrial solicitados a  SAPAL,DGOP/CT/015/17,29/05/2017 00:00,SE CONCLUYERON LOS TRABAJOS DE REHABILITACIÓN DEL DRENAJE Y SE PUEDE CONTINUAR CON LA PAVIMENTACIÓN DE LA CALLE,18/07/2017 00:00,20/02/2017 00:00,29/05/2017 00:00
40,544,DGOP/CT/041/17,16/06/2017 00:00,por falta de suficiencia presupuestal para la ampliación,DGOP/CT/041/17,27/09/2017 00:00,DE ACUERDO AL OFICIO DE EDUCACION DONDE RESPONDEN QUE EL MURO GUARDIAN NO ESTRA DENTRO DEL ALCANCE DE ESTE PROYECTO,28/09/2017 00:00,16/06/2017 00:00,27/09/2017 00:00
42,67,DGOP/1462/2018,18/11/2016 00:00,"DEBIDO A QUE YA FUERON REALIZADOS LOS AJUSTES NECESARIOS PARA EL REINICIO DE LOS TRABAJOS DEL CONTRATO EN PROCESO, Y QUE NO  SE CUENTA CON EL TECHO PRESUPUESTAL PARA GESTIONAR LOS TRAMITES FALTANTES ANTE CONAGUA Y LA SEMARNAT PARA OBTENER AUTORIZACIONES CORRESPONDIENTES, SE LE INSTRUYE AL CONSULTOR QUE DEBERA REINICIAR CON ESTA FECHA LOS TRABAJOS CONTRATADOS PARA SU TERMINACION Y ENTREGA, ASI COMO SU FINIQUITO Y CIERRE ADMINISTRATIVO.",DGOP/1462/2018,27/08/2018 00:00,,31/08/2014 00:00,27/08/2018 00:00,27/08/2018 00:00
43,68,DGOP/1462/2018,18/11/2016 00:00,TRAMITES FALTANTES CONAGUA Y SEMARNAT,DGOP/1462/2018,27/08/2018 00:00,,31/08/2018 00:00,27/08/2018 00:00,27/08/2018 00:00
