Id_Prorroga,Id_Contrato,No_Prorroga,Dias_Recorrer,Fecha_Nueva,Porcentaje,Justificacion,Numero_Oficio_Contratista,Fecha_Oficio_Contratista,Numero_Oficio_Autorizacion,Fecha_Oficio_Autorizacion,Observaciones,Fecha_Termino_Ultima_Anterior
70,100,1,10,18/10/2016 00:00,15,SE ANEXA AUTORIZACION ORIGINAL DE 1ER CONVENIO DE PRORROGA CON DOCUMENTACIÓN ADJUNTA ORIGINAL EN LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PRORRO,26/08/2016 00:00,01 PR/0148/16,31/08/2016 00:00,,08/10/2016 00:00
71,57,1,12,16/09/2016 00:00,14.63,SE ANEXA AUTORIZACION DE 1ER CONVENIO DE PRORROGA CON DOCUMENTACION ORIGINAL ADJUNTA A LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PRORRO,30/08/2016 00:00,01 PR/152/16,06/09/2016 00:00,,03/09/2016 00:00
72,75,1,20,07/10/2016 00:00,27.03,SE ANEXA AUTORIZACION ORIGINAL DE 1ER CONVENIO DE PRORROGA CON DOCUMENTACION ORIGINAL ADJUNTA A LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PRORRO,05/09/2016 00:00,01 PR/057/16,12/09/2016 00:00,,16/09/2016 00:00
73,61,1,49,26/10/2016 00:00,62.82,SE ANEXA AUTORIZACION ORIGINAL DE 1ER CONVENIO DE PRORROGA CON DOCUMENTACION ORIGINAL ADJUNTA A LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PRORRO,06/09/2016 00:00,01 PR/165/16,12/09/2016 00:00,,06/09/2016 00:00
74,91,1,15,20/11/2016 00:00,15.79,SE ANEXA AUTORIZACION ORIGINAL DE 1ER CONVENIO DE PRORROGA CON DOCUMENTACION ORIGINAL ADJUNTA A LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PRORRO,07/09/2016 00:00,01 PR/168/16,13/09/2016 00:00,,04/11/2016 00:00
75,86,1,22,23/10/2016 00:00,25,SE ANEXA AUTORIZACION ORIGINAL DE 1ER CONVENIO ORIGINAL CON DOCUMENTACION ORIGINAL ADJUNTA A LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PRORRO,08/09/2016 00:00,01 PR/171/16,13/09/2016 00:00,,30/09/2016 00:00
83,52,1,41,11/11/2016 00:00,37.61,SE ANEXA AUTORIZACION DE CONVENIO DE 1A PR ORIGINAL CON DOCUMENTACION ORIGINAL ADJUNTA  A LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PRORRO,30/09/2016 00:00,01 PR/201/16,07/10/2016 00:00,,30/09/2016 00:00
84,117,1,14,30/10/2016 00:00,18.67,SE ANEXA AUTORIZACION ORIGINAL DE CONVENIO DE 1A PRORROGA CON DOCUMENTACION ORIGINAL ADJUNTA A LA SOLICITUD DE PRORROGA EN EXPEDIENTE UNITARIO,S/N PRORRO,27/09/2016 00:00,01 PR/191/16,30/09/2016 00:00,,15/10/2016 00:00
85,71,1,42,02/11/2016 00:00,49.41,SE ANEXA AUTORIZACION ORIGINAL DE CONVENIO DE 1A PRORROGA CON DOCUMENTACION ORIGINAL ADJUNTA A LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PRORRO,19/09/2016 00:00,01 PR/184/16,26/09/2016 00:00,,20/09/2016 00:00
86,64,1,22,12/10/2016 00:00,25,SE ANEXA AUTORIZACION ORIGINAL DE CONVENIO DE 1A PRORROGA CON DOCUMENTACION ORIGINAL ADJUNTA A LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PRORRO,19/09/2016 00:00,01 PR/185/16,26/09/2016 00:00,,19/09/2016 00:00
88,53,1,46,16/11/2016 00:00,42.2,SE ANEXA AUTORIZACION ORIGINAL DE 1ER CONVENIO DE PRORROGA CON DOCUMENTACION ORIGINAL ADJUNTA A LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PRORRO,15/09/2016 00:00,01 PR/180/16,23/09/2016 00:00,,30/09/2016 00:00
89,69,1,34,21/10/2016 00:00,38.64,SE ANEXA AUTORIZACION ORIGINAL DE 1ER CONVENIO DE PRORROGA  CON DOCUMENTACION ORIGINAL ADJUNTA A LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PRORRO,26/08/2016 00:00,01 PR/150/16,01/09/2016 00:00,,16/09/2016 00:00
91,93,1,19,24/11/2016 00:00,17.43,SE ANEXA AUTORIZACION ORIGINAL DE 1ER CONVENIO DE PRORROGA CON DOCUMENTACION ORIGINAL ADJUNTA A LA SOLICITUD DE PRORROGA  EN EL EXPEDIENTE UNITARIO,S/N PRORRO,30/09/2016 00:00,01 PR/197/16,03/10/2016 00:00,,04/11/2016 00:00
92,83,1,38,12/11/2016 00:00,41.3,SE ANEXA AUTORIZACION ORIGINAL DE 1ER CONVENIO DE PRORROGA CON DOCUMENTACION ORIGINAL ADJUNTA A LA SOLICITUD DE PRORROGA EN EL ESPEDIENTE UNITARIO,S/N PRORRO,04/10/2016 00:00,01 PR/204/16,10/10/2016 00:00,,04/10/2016 00:00
93,81,1,28,04/01/2017 00:00,18.06,SE ANEXA AUTORIZACION ORIGINAL DE 1ER CONVENIO DE PRORROGA CON DOCUMENTACION ORIGINAL ADJUNTA A LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PRORRO,23/09/2016 00:00,01 PR/188/16,29/09/2016 00:00,,06/12/2016 00:00
94,77,1,48,19/11/2016 00:00,53.93,SE ANEXA AUTORIZACION ORIGINAL DE CONVENIO DE 1ER PRORROGA CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO ,S/N PRORRO,28/09/2016 00:00,01 PR/194/16,03/10/2016 00:00,,01/10/2016 00:00
95,116,1,19,03/12/2016 00:00,23.17,SE ANEXA AUTORIZACION ORIGINAL DE CONVENIO DE 1ER PRORROGA CON DOCUMENTACION ORIGINAL ADJUNTA A LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PRORRO,03/10/2016 00:00,01 PR/207/16,10/10/2016 00:00,,13/11/2016 00:00
96,84,1,36,31/10/2016 00:00,43.9,SE ANEXA AUTORIZACION ORIGINAL DE 1ER CONVENIO DE PRORROGA CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,,,,,,
,S/N PRORRO,21/09/2016 00:00,01 PR/187/16,28/09/2016 00:00,,24/09/2016 00:00,,,,,,
97,119,1,31,07/12/2016 00:00,38,"NO SE CONSIDERÓ EN PRESUPUESTO INICIAL DRENAJE SANITARIO-RED CENTRAL, AGUA POTABLE Y TOMAS DOMICILIARIAS INDICADAS POR SAPAL , SE RECUPERA PIEDRA BOLA EXISTENTE, AMPLIACIÓN DE VOLÚMENES Y CONCEPTOS DE RED DE ALUMBRADO PÚBLICO",S/N 1A PRÓRROGA,13/10/2016 00:00,DGOP/CT/PR/222/16,19/10/2016 00:00,"SE TRAMITA, LIBERA Y SE ENVÍA A DIR. ADMTIVA PARA SU CONTROL Y ARCHIVO",06/11/2016 00:00
98,72,1,42,01/11/2016 00:00,49,"AMPLIACIÓN EN MONTO POR $846,692.97 Y EN TIEMPO AL 01/NOV/2016",S/N,05/09/2016 00:00,S/N,05/09/2016 00:00,SE TRAMITA EN DIR. ADMTIVA AMPLIACIÓN EN MOTO Y TIEMPO,20/09/2016 00:00
99,72,2,14,15/11/2016 00:00,16,LLUVIAS,S/N PRÓRROGA,13/10/2016 00:00,DGOP/CT/PR/216/16,19/10/2016 00:00,"SE TRAMITA, LIBERA Y SE ENTREGA ADMINISTRATIVO PARA SU CONTROL Y ARCHIVO",01/11/2016 00:00
100,91,2,19,09/12/2016 00:00,20,"LLUVIAS EN MESES AGOSTO, SEPTIEMBRE, Y OCTUBRE",S/N PRÓRROGA,13/10/2016 00:00,02 PR/219/16,19/10/2016 00:00,"SE TRAMITA, SE AUTORIZA Y SE ENVÍA A ADMINISTRATIVO PARA CONTROL Y ARCHIVO",20/11/2016 00:00
101,64,2,39,20/11/2016 00:00,44,"LLUVIAS DE SEPTIEMBRE A OCTUBRE, SELLADO DE JUNTAS (28 DÍAS)",S/N PRÓRROGA,11/10/2016 00:00,02 PR/213/16,14/10/2016 00:00,"SE TRAMITA, SE AUTORIZA, SE ENVÍA A ADMINISTRATIVO PARA CONTROL Y ARCHIVO",12/10/2016 00:00
102,151,1,24,30/10/2016 00:00,60,"POR FUERA DE CATÁLOGO (MEJORAMIENTO EN EL SUELO), CAMBIO DE TERRENO, ACCESO LIMITADO Y RESTRINGIDO A VIVIENDA",S/N PRÓRROGA,05/10/2016 00:00,DGOP/CT/PR/211/16,12/10/2016 00:00,"SE TRAMITA, Y SE ENVÍA A ADMINISTRATIVO PARA SU CONTROL Y ARCHIVO",06/10/2016 00:00
103,86,2,13,05/11/2016 00:00,15,POR FRAGUADO DE CONCRETO PARA EL SELLADO DE JUNTAS 28 DÍAS.,S/N PRÓRROGA,21/10/2016 00:00,02 PR/231/16,27/10/2016 00:00,SE TRAMITA Y SE ENVÍA A ADMINISTRATIVO PARA SU CONTROL Y ARCHIVO,23/10/2016 00:00
104,87,1,56,14/01/2017 00:00,41,"1. SAPAL ENTREGO LA REVISIÓN DE LOS PROYECTOS DE AGUA POTABLE, DRENAJE SANITARIO DE AMBAS CALLES MÁS DE 30 DÍAS DESPUÉS DE HABERLO INGRESADO A REVISIÓN.",,,,,,
,S/N,07/11/2016 00:00,DGOPL/ML/1731/2016,11/11/2016 00:00,NINGUNA,19/11/2016 00:00,,,,,,
105,88,1,56,14/01/2017 00:00,41,"1. DE ACUERDO AL INSTITUTO DE ECOLOGÍA DEL ESTADO, LA VIALIDAD SE ENCUENTRA EN UN ÁREA NATURAL PROTEGIDA, POR TAL MOTIVO SE GÉNERO:",,,,,,
"A) AMPLIACIÓN DE METAS EN EL PROYECTO, YA QUE NO ESTABA CONSIDERADA EN EL CONTRATO UNA MANIFESTACIÓN DE IMPACTO AMBIENTAL (MIA) ESTATAL.",,,,,,,,,,,,
"B) PARA EL INGRESO DE LA MIA ESTATAL, SE REQUIERE UN OFICIO EMITIDO POR DESARROLLO URBANO INDICANDO EL USO DE SUELO DE LA VIALIDAD, EL CUÁL A LA FECHA NO SE HA TENIDO RESPUESTA.",,,,,,,,,,,,
"2. SE TUVO LA NECESIDAD DE PROYECTA LA VIALIDAD CERRADA EN LA PARTE NORTE, YA QUE SE ENCUENTRA CON UNA PENDIENTE MAYOR AL 30% POR LO QUE SE REQUIRIÓ SOLICITAR LA MECÁNICA DE SUELOS PARA MUROS DE CONTENCIÓN, MISMO QUE NO SE ENCONTRABA EN LOS ALCANCES DEL PROYECTO.",S/N,07/11/2016 00:00,DGOP/ML/1731/2016,11/11/2016 00:00,NINGUNA,19/11/2016 00:00,,,,,,
106,96,1,30,06/12/2016 00:00,27,"ampliación de metas de contrato incluyendo 4 fichas de afectación para Av. río de los castillos, así como pozos a cielo abierto y analisis geotecnico para determinar la capacidad de carga para dos muros de contención en la calle Aralia.",,,,,,
SAPAL a la fecha no ha dado respuesta a la revisión de los proyectos hidrosanitarios de la calle Av. Rio de los castillos,GUMAR/RHINO/006/2016,28/10/2016 00:00,DGOP/ML/1637/2016,31/10/2016 00:00,ninguna,06/11/2016 00:00,,,,,,
107,48,2,41,31/12/2016 00:00,37,SE SOLICITA AMPLIACIÓN DE LOS ALCANCES DE CONTRATO AL INCLUIR MUROS DE CONTENCIÓN Y OFICIO DEL REQUERIMIENTO DEL INSTITUTO DE ECOLOGÍA ALA DIRECCIÓN DE DESARROLLO URBANO DEL USO DE SUELO EN ZONA PROTEGIDA,S/N,17/11/2016 00:00,DGOP/ML/1785/2016,18/11/2016 00:00,NINGUNA,
,20/11/2016 00:00,,,,,,,,,,,
108,49,2,41,31/12/2016 00:00,37,SE SOLICITA AMPLIACIÓN DE LOS ALCANCES DE CONTRATO AL INCLUIR MUROS DE CONTENCIÓN Y OFICIO DEL REQUERIMIENTO DEL INSTITUTO DE ECOLOGÍA ALA DIRECCIÓN DE DESARROLLO URBANO DEL USO DE SUELO EN ZONA PROTEGIDA,S/N,17/11/2016 00:00,DGOP/ML/1785/2016,18/11/2016 00:00,NINGUNA,20/11/2016 00:00
109,204,1,30,23/01/2017 00:00,27,"CAUSA DE PRÓRROGA: RETRASO PRODUCTO DE LA FALTA DE INFORMACIÓN ESTADÍSTICA PARA LA DETERMINACIÓN DEL NÚMERO DE GAVETAS, FOSAS Y OSARIOS, NECESARIOS PARA EL ESTABLECIMIENTO DEL PROGRAMA ARQUITECTÓNICO Y EL DESARROLLO DEL ANTEPROYECTO DEL PANTEON QUE DEBIÓ ENTREGAR LA DIRECCIÓN DE PANTEONES.",S/N,31/10/2016 00:00,DGOP/ML/PROY/2373/2016,31/10/2016 00:00,,24/12/2016 00:00
110,83,2,18,30/11/2016 00:00,20,"PRECIOS FUERA DE CATÁLOGO, INTERCONECCIÓN DE SAPAL, ENCOFRADO DE LÍNEAS DE TELMEX, Y AUTORIZACION DEL MANIFIESTO",S/N PRÓRROGA,11/11/2016 00:00,02 PR/262/16,16/11/2016 00:00,-,12/11/2016 00:00
111,38,1,40,27/10/2016 00:00,36,TIEMPO DE RESPUESTA POR PARTE DE LA DIRECCIÓN DE DESARROLLO URBANO EN LA ENTREGA DE LA TRAZA DE LA CALLE CUESTA DE CAMELINAS,S/N,14/11/2016 00:00,DGOP/ML/PROY/2001/16,15/11/2016 00:00,NINGUNA,17/09/2016 00:00
112,39,1,40,27/10/2016 00:00,36,TIEMPO DE RESPUESTA POR PARTE DE DESARROLLO URBANO EN LA ENTREGA DE LA TRAZA DE LA CALLE CUESTA DE CAMELINAS,S/N,14/09/2016 00:00,DGOP/ML/PROY/2001/16,15/09/2016 00:00,NINGUNA,17/09/2016 00:00
113,124,1,27,18/11/2016 00:00,40, ,S/N PRORR,15/08/2016 00:00,01 PR/200/16,22/10/2016 00:00,SE ANEXA AUTORIZACIÓN DE CONVENIO ORIGINAL DE 1A PRORROGA CON DOCUMENTACIÓN ORIGINAL ADJUNTA A LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO. ,22/10/2016 00:00
114,128,1,33,30/11/2016 00:00,49,1A PRÓRROGA,S/N PRÓRROGA,28/10/2016 00:00,01 PR/246/16,03/11/2016 00:00,,28/10/2016 00:00
115,185,1,13,17/11/2016 00:00,30,MEDIANTE OFICIO DGOP/CT/PR/256/16,S/N,26/11/2016 00:00,DGOP/CT/PR/256/16,08/11/2016 00:00,,04/11/2016 00:00
116,186,1,13,17/11/2016 00:00,30,MEDIANTE OFICIO DGOP/CT/PR/256/16,S/N,07/11/2016 00:00,DGOP/CT/PR/256/16,08/11/2016 00:00,,04/11/2016 00:00
117,129,1,35,03/12/2016 00:00,47,MEDINATE OFICIO DGOP/CT/PR/240/16,S/N,31/10/2016 00:00,DGOP/CT/PR/240/16,01/11/2016 00:00,,29/10/2016 00:00
118,100,2,28,15/11/2016 00:00,42,SE ANEXA AUTORIZACIÓN DE CONVENIO DE 2A PRÓRROGA CON DOCUMENTACIÓN ORIGINAL ADJUNTA A LA SOLICITUD ORIGINAL DE PRÓRROGA EN EL EXPEDIENTE UNITARIO,S/N 2A PRÓRROGA,17/10/2016 00:00,02 PR/225/16,20/10/2016 00:00,XÓCHITL 28/NOV/2016,18/10/2016 00:00
119,65,1,45,22/11/2016 00:00,41,"revisiones con la dirección de Desarrollo Urbano y el IMPLAN para ajuste de traza, que ocasiona un atraso de 45 días naturales del avance del proyecto",s/n,26/09/2016 00:00,s/n,03/10/2016 00:00,,08/10/2016 00:00
120,66,1,45,22/11/2016 00:00,41,"revisión con la Dirección de Desarrollo Urbano y el Implan para modificación de traza, que ocasiona un retraso de 45 días naturales",S/N,26/09/2016 00:00,S/N,03/10/2016 00:00,,08/10/2016 00:00
121,62,1,21,08/12/2016 00:00,14,SE ANEXA AUTORIZACIÓN DE CONVENIO ORIGINAL DE 1A PRORROGA CON DOCUMENTACIÓN ORIGINAL ADJUNTA A LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO.,S/N PRORR,31/10/2016 00:00,01 PR/249/16,04/11/2016 00:00,,17/11/2016 00:00
122,127,1,10,22/11/2016 00:00,12,SE ANEXA AUTORIZACION DE ORIGINAL DE 1ER CONVENIO DE PRORROGA CON DOCUMENTACION ORIGINAL ADJUNTA A LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PRORRO,10/11/2016 00:00,01 PR/265/16,16/11/2016 00:00,,12/11/2016 00:00
123,4,2,57,12/08/2016 00:00,70,MEDIANTE CONVENIO No. OFICIO DGOP/ML/PROY/0799/2016,S/N,16/08/2016 00:00,DGOP/ML/PROY/0799/2016,17/08/2016 00:00,,16/06/2016 00:00
124,5,2,57,12/08/2016 00:00,70,MEDIANTE CONVENIO No. OFICIO DGOP/ML/PROY/0799/2016,,,,,,
,S/N,16/08/2016 00:00,DGOP/ML/PROY/0799/2016,17/08/2016 00:00,,16/06/2016 00:00,,,,,,
125,6,2,57,12/08/2016 00:00,70,MEDIANTE CONVENIO No. OFICIO DGOP/ML/PROY/0799/2016,,,,,,
,S/N,15/08/2016 00:00,DGOP/ML/PROY/0799/2016,17/08/2016 00:00,,16/06/2016 00:00,,,,,,
126,40,2,690,20/09/2018 00:00,454,SE DEFINIERON  NUEVOS TRABAJOS A REALIZAR PARA SU PRESENTACIÓN A SHCP,FORMATO DE SOLICITUD CONVENIO MODIFICATORIO,13/02/2018 00:00,DGOP/PROY/1683/2018,14/02/2018 00:00,NINGUNA,02/03/2018 00:00
127,223,1,31,24/01/2017 00:00,38,revisión del proyecto,S/N,01/12/2016 00:00,S/N,05/12/2016 00:00,,24/12/2016 00:00
128,150,1,22,20/11/2016 00:00,48,POR VOLUMENES DE EXCEDENTES Y FURAS DE CATALOGOS,S/N,31/10/2016 00:00,DGOP/CT/PR/247/16,03/11/2016 00:00,,29/10/2016 00:00
129,78,1,20,11/11/2016 00:00,18,SE ANEXA AUTORIZACIÓN DE CONVENIO ORIGINAL DE 1A PRORROGA CON DOCUMENTACIÓN ORIGINAL ADJUNTA A LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO.,S/N PRORR,21/10/2016 00:00,1A PR/0226/16,26/10/2016 00:00,,22/10/2016 00:00
130,99,1,66,28/02/2017 00:00,42,POR FUERA DE CATALOGOS,S/N,12/12/2016 00:00,DGOP/CT/PR/299/16,16/12/2016 00:00,,24/12/2016 00:00
131,213,1,10,03/01/2017 00:00,15,MODIFICACIONES AL PROYECTO EN VARIOS CONCEPTOS ,S/N PRORR,22/12/2016 00:00,01 PR/304/16,22/12/2016 00:00,,24/12/2016 00:00
132,82,1,9,09/12/2016 00:00,7,SE SOLICITA DEBIDO A LLUVIAS,S/N PRORR,27/10/2016 00:00,01 PR/237/16,28/10/2016 00:00,,30/11/2016 00:00
133,82,2,22,31/12/2016 00:00,17,"POR LLUVIAS, LIBERACION DE TRAMO Y TRABAJOS DE SAPAL",S/N PRORR,09/12/2016 00:00,02 PR/292/16,16/01/2017 00:00,,09/12/2016 00:00
134,76,1,21,10/12/2016 00:00,15,VOLUMENES EXCEDENTES,S/N,27/10/2016 00:00,DGOP/CT/PR/228/16,27/10/2016 00:00,,19/11/2016 00:00
135,76,2,14,24/12/2016 00:00,10,VOLUMENES EXCEDENTES,S/N PRORROGA,14/12/2016 00:00,DGOP/CT/PR/289/16,14/12/2016 00:00,,10/12/2016 00:00
136,125,1,21,04/12/2016 00:00,26,"POR LLUVIAS, INTRODUCCION DE GAS NATURAL Y FUERAS DE CATALOGO",S/N PRORR,10/11/2016 00:00,01 PR/259/16,11/11/2016 00:00,,13/11/2016 00:00
137,93,2,15,09/12/2016 00:00,14,POR EXCEDENTE Y FUERA DE CATALOGOS.,S/N,25/11/2016 00:00,02 PR/277/16,29/11/2016 00:00,,24/11/2016 00:00
138,160,1,14,30/11/2016 00:00,21,"POR CONCEPTOS FUERA DE CATALOGO, LLUVIAS Y AMPLIACIÓN DE JUNTAS, CALAFATEO, GUARNICIÓN Y SUMINISTRO DE TUBERÍA ",S/N PRORR,16/11/2016 00:00,01 PR/274/16,22/11/2016 00:00,,16/11/2016 00:00
139,413,1,15,12/02/2017 00:00,79,"POR FALTA DE ENTREGA DE AULAS, MODIFICACIONES AL PROYECTO Y FUERA DE CATALOGO",S/N PRORR,25/01/2017 00:00,01 PR/010/17,25/01/2017 00:00,,28/01/2017 00:00
140,258,1,30,16/02/2017 00:00,56,ADECUACIONES AL PROYECTO EN CIMENTACIÓN Y ESTRUCTURA METALICA,S/N PRORR,17/01/2017 00:00,01 PR/007/17,24/01/2017 00:00,,17/01/2017 00:00
141,312,1,6,10/02/2017 00:00,10,POR AMPLIACIÓN DE METAS EN BLVDS. ,S/N PRORR,31/01/2017 00:00,01 PR/016/17,03/02/2017 00:00,,04/02/2017 00:00
142,72,3,17,02/12/2016 00:00,20,SE ANEXA AUTORIZACION DE CONVENIO ORIGINAL DE 1A PRORROGA CON DOCUMENTACION ORIGINAL ADJUNTA A LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PRORR,14/11/2016 00:00,03 PR/268/16,17/11/2016 00:00,,15/11/2016 00:00
143,225,1,14,18/11/2016 00:00,25,SE ANEXA AUTORIZACION DE CONVENIO ORIGINAL DE 1A PRORROGA CON DOCUMENTACION ORIGINAL ADJUNTA A LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PRORR,31/10/2016 00:00,01 PR/253/16,04/11/2016 00:00,,04/11/2016 00:00
144,118,1,21,30/11/2016 00:00,26,SE ANEXA AUTORIZACION DE CONVENIO ORIGINAL DE 1A PRORROGA CON DOCUMENTACION ORIGINAL ADJUNTA A LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PRORR,28/10/2016 00:00,01 PR/243/16,30/11/2016 00:00,,09/11/2016 00:00
145,233,1,91,01/04/2017 00:00,102,SE ANEXA AUTORIZACION DE CONVENIO ORIGINAL DE 1A PRORROGA CON DOCUMENTACION ORIGINAL ADJUNTA A LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PRORR,22/12/2016 00:00,01 PR/307/16,22/11/2016 00:00,,31/12/2016 00:00
146,183,1,14,12/11/2016 00:00,30,SE ANEXA AUTORIZACION DE CONVENIO ORIGINAL DE 1A PRORROGA CON DOCUMENTACION ORIGINAL ADJUNTA A LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PRORR,28/10/2016 00:00,01 PR/248/16,03/11/2016 00:00,,29/10/2016 00:00
147,141,1,14,24/12/2016 00:00,13,SE ANEXA AUTORIZACION DE CONVENIO ORIGINAL DE 1A PRORROGA CON DOCUMENTACION ORIGINAL ADJUNTA A LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PRORR,09/12/2016 00:00,01 PR/298/16,16/12/2016 00:00,,10/12/2016 00:00
148,142,1,14,24/12/2016 00:00,13,SE ANEXA AUTORIZACION DE CONVENIO ORIGINAL DE 1A PRORROGA CON DOCUMENTACION ORIGINAL ADJUNTA A LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PRORR,09/12/2016 00:00,01 PR/298/16,16/12/2016 00:00,,10/12/2016 00:00
