Id_Contrato,Fecha_Anticipo,Porcentaje,Importe,Observaciones
0000000211,2018-06-01 00:00:00,20.00,68767.95,"SE AUTORIZA 20% ANTICIPO ADICIONAL DEL RAMO 33-I, SEGÚN OFICIO DEL 01/06/2018"
0000000212,2018-06-01 00:00:00,20.00,86076.89,"SE AUTORIZA 20% ANTICIPO ADICIONAL DEL RAMO 33-I, SEGÚN OFICIO DEL 01/06/2018"
0000000232,2018-09-02 00:00:00,20.00,19816.68,"SE AUTORIZA 20% ADICIONAL DEL RECURSO RAMO 33-I, SEGÚN OFICIO DEL 21/06/2018 ALMA"
0000000233,2018-09-02 00:00:00,20.00,41218.12,"SE AUTORIZA 20% ADICIONAL DEL RECURSO RAMO 33-I, SEGÚN OFICIO DEL 21/06/2018 ALMA"
0000000234,2018-09-02 00:00:00,20.00,41888.11,"SE AUTORIZA 20% ADICIONAL DEL RECURSO RAMO 33-I, SEGÚN OFICIO DEL 21/06/2018 ALMA"
0000000235,2018-09-02 00:00:00,20.00,37810.62,"SE AUTORIZA 20% ADICIONAL DEL RECURSO RAMO 33-I, SEGÚN OFICIO DEL 19/07/2018 ALMA"
0000000236,2018-09-02 00:00:00,20.00,56602.40,"SE AUTORIZA 20% ADICIONAL DEL RECURSO RAMO 33-I, SEGÚN OFICIO DEL 19/07/2018 ALMA"
0000000237,2018-09-02 00:00:00,20.00,63916.05,"SE AUTORIZA 20% ADICIONAL DEL RECURSO RAMO 33-I, SEGÚN OFICIO DEL 19/07/2018 ALMA"
0000000162,2018-09-02 00:00:00,20.00,48816.68,"SE AUTORIZA 20% ANTICIPO ADICIONAL DEL RECURSO RAMO 33-I, SEGÚN OFICIO DEL 01/06/2018"
0000000163,2018-09-02 00:00:00,20.00,101203.73,"SE AUTORIZA 20% ANTICIPO ADICIONAL DEL RECURSO RAMO 33-I, SEGÚN OFICIO DEL 01/06/2018"
0000000242,2018-09-02 00:00:00,20.00,54720.01,"SE AUTORIZA 20% ANTICIPO ADICIONAL DEL RECURSO RAMO 33-I, SEGÚN OFICIO DEL 01/06/2018 ALMA"
0000000243,2018-09-02 00:00:00,20.00,171043.56,"SE AUTORIZA 20% ANTICIPO ADICIONAL DEL RECURSO RAMO 33-I, SEGÚN OFICIO DEL 01/06/2018 ALMA"
0000000244,2018-09-03 00:00:00,20.00,83740.43,SE AUTORIZA 20% ANTICIPO ADICIONAL SEGÚN OFICIO DEL 13/06/2018 ALMA
0000000245,2018-09-03 00:00:00,20.00,87593.56,SE AUTORIZA 20% ANTICIPO ADICIONAL SEGÚN OFICIO DEL 13/06/2018 ALMA
0000000246,2018-09-03 00:00:00,20.00,25223.27,SE AUTORIZA 20% ANTICIPO ADICIONAL SEGÚN OFICIO DEL 13/06/2018 ALMA
0000000247,2018-09-03 00:00:00,20.00,45909.88,"SE AUTORIZA 20% ANTICIPO ADICIONAL DEL RECURSO RAMO 33-I, SEGÚN OFICIO DEL 01/06/2018 ALMA."
0000000248,2018-09-03 00:00:00,20.00,20227.61,"SE AUTORIZA 20% ANTICIPO ADICIONAL DEL RECURSO RAMO 33-I, SEGÚN OFICIO DEL 01/06/2018 ALMA."
0000000249,2018-09-03 00:00:00,20.00,89067.35,"SE AUTORIZA 20% ANTICIPO ADICIONAL DEL RECURSO RAMO 33-I, SEGÚN OFICIO DEL 01/06/2018 ALMA."
0000000087,2018-06-05 00:00:00,20.00,1991212.10,SE AUTORIZA 20% ANTICIPO ADICIONAL SEGÚN OFICIO DEL 05/06/2018
0000000459,2018-11-13 00:00:00,20.00,185175.35,SE AUTORIZA 20% ANTICIPO SEGÚN OFICIO DGOP/2029/2018 ALMA
0000000460,2018-11-13 00:00:00,20.00,203797.87,SE AUTORIZA 20% ANTICIPO SEGÚN OFICIO DGOP/2029/2018 ALMA
0000000461,2018-11-13 00:00:00,20.00,204415.60,SE AUTORIZA 20% ANTICIPO SEGÚN OFICIO DGOP/2029/2018 ALMA
0000000381,2018-11-13 00:00:00,20.00,297935.47,SE AUTORIZA 20% ANTICIPO SEGÚN OFICIO DGOP/2022/2018 ALMA
0000000376,2018-11-13 00:00:00,20.00,331707.19,SE AUTORIZA 20% ANTICIPO SEGÚN OFICIO DGOP/2024/2018 ALMA
0000000468,2018-11-13 00:00:00,20.00,331148.16,SE AUTORIZA 20% ANTICIPO ADICIONAL SEGÚN OFICIO DGOP/2017/2018 ALMA
0000000383,2018-11-13 00:00:00,20.00,331707.17,SE AUTORIZA 20% ANTICIPO ADICIONAL SEGÚN OFICIO DGOP/2023/2018 ALMA
0000000475,2018-11-23 00:00:00,20.00,976510.17,SE AUTORIZA 20% ANTICIPO ADICIONAL SEGÚN OFICIO DGOP/2099/2018
0000000493,2018-11-30 00:00:00,20.00,570379.05,"SE AUTORIZA 20% ANTICIPO ADICIONAL SEGÚN OFICIO DGOP/2808/2018, SOLO LLEGO EL RECURSO MUNICIPAL DIVIDIDO EN DOS FACTURAS POR SER UNA CUENTA DE LOS 500 MILLONES Y LA OTRA MUNICIPAL NORMAL."
0000000241,2018-12-04 00:00:00,20.00,1659608.29,SE AUTORIZA 20% ANTICIPO ADICIONAL DGOP/DAYCFO/1148 09/12/2018 ALMA
0000000470,2018-12-04 00:00:00,20.00,339872.72,SE AUTORIZA 20% ANTICIPO ADICIONAL SEGÚN OFICIO No. DGOP/2843/2018
12/12/2018 ALMA
0000000469,2018-12-04 00:00:00,20.00,286071.22,SE AUTORIZA 20% ANTICIPO ADICIONAL SEGÚN OFICIO No. DGOP/2844/2018
12/12/2018 ALMA
0000000307,2018-11-30 00:00:00,20.00,723796.84,SE AUTORIZA 20% ANTICIPO ADICIONAL SEGÚN OFICIO No. DGOP/2810/2018
17/12/2018 ALMA
0000000391,2018-11-30 00:00:00,20.00,197800.00,"SE AUTORIZA 20% ANTICIPO, SEGÚN OFICIO No. DGOP/2811/2018
18/12/2018 ALMA"
0000000392,2018-11-30 00:00:00,20.00,197800.00,"SE AUTORIZA 20% ANTICIPO, SEGÚN OFICIO No. DGOP/2811/2018
18/12/2018 ALMA"
0000000393,2018-11-30 00:00:00,20.00,197800.00,"SE AUTORIZA 20% ANTICIPO, SEGÚN OFICIO No. DGOP/2811/2018
18/12/2018 ALMA"
0000000503,2018-11-30 00:00:00,20.00,471995.59,SE AUTORIZA 20% DE ANTICIPO ADICIONAL. SEGÚN OFICIO No. DGOP/2807/2018
18/12/2018 ALMA
0000000462,2018-12-04 00:00:00,20.00,324746.16,"SE AUTORIZA 20% ADICIONAL, SEGÚN OFICIO No. DGOP/2839/2018, CON FECHA DEL 04/12/2018"
0000000349,2019-01-15 00:00:00,20.00,360078.09,"SE AUTORIZA 20% ANTICIPO ADICIONAL, SEGÚN OFICIO No. DGOP/2910/2018, DEL 11/DIC/2018"
0000000552,2018-12-11 00:00:00,25.00,574802.59,"SE AUTORIZA 25% ANTICIPO ADICIONAL, SEGÚN OFICIO No. DGOP/2925/2018, DEL 12/DIC/2018
ALMA 15/01/2019"
0000000595,2019-02-11 00:00:00,20.00,268622.08,"SE AUTORIZA 20% ANTICIPO ADICIONAL, SEGÚN CONVENIO: DGOP/2845/2018"
0000000602,2019-02-14 00:00:00,20.00,758253.80,SE AUTORIZA 20% ANTICIPO AICIONAL SEGÚN OFICIO No. DGOP/0243/2019
0000000591,2019-02-14 00:00:00,20.00,998851.83,SE AUTORIZA 20% ANTICIPO ADICIONAL SEGÚN OFICIO DGOP/0242/2019
22/02/2019 ALMA
