Id_Contrato,Id_Presupuesto,Numero_Contrato,Nombre_Final,Importe,Porcentaje_Anticipo,Importe_Anticipo,Fecha_Firma_Contrato,Fecha_Inicio,Fecha_Termino,Id_Formato_Contrato,Id_Formato_Caratula,Id_Formato_Hoja_Estimaciones,Observaciones,Estatus,Id_Contratista,Id_Supervisor_Interno,Id_Supervisor_Externo,Id_Fuente_Inversion,Fecha_Adjudicacion,Id_Modalidad,Numero_Licitacion,Id_Oficio_Asignacion_Obra,
17,28,B-5051-236-6141-D/0019/2017,PAVIMENTACION DE LA CALLE SAN JOAQUIN TRAMO: DE PAVIMENTO EXISTENTE - CALLE SANTA CROCCE COL. SANTA CROCCE.,1284896.72,30,385469.02,Mar 21 2017 12:00AM,Mar 27 2017 12:00AM,Jul  1 2017 12:00AM,9,1,1,21/04/2017 CLAU,EJECUCION,206,NULL,NULL,2,Mar 21 2017 12:00AM,1,,0,
18,24,A-2510-314-6121-C/0014/2017,"FRACCIÓN, SUMINISTRO Y COLOCACION DE (18) PIEZAS DE PORTERÍAS A BASE DE TUBERÍAS DE 3"" IND. CAL. 18 LEÓN, GTO. (9 JUEGOS) EN EL VIVERO MUNICIPAL DEL MUNICIPIO DE LEON GTO.",37343.46,0,0,Feb 22 2017 12:00AM,Feb 27 2017 12:00AM,Mar 25 2017 12:00AM,10,1,1,,EJECUCION,505,NULL,NULL,1,Apr 21 2017 12:00AM,1,,0,
19,29,A-2510-314-6141-D/0020/2017,REHABILITACIÓN DE LA AV. MIGUEL ALEMÁN.,19223383.39,30,5767015.01,Mar  8 2017 12:00AM,Mar 23 2017 12:00AM,Aug 26 2017 12:00AM,11,1,1,AMALIA 25/04/2017,EJECUCION,67,NULL,NULL,1,Mar  7 2017 12:00AM,1,OPM/MUN/001/2017,0,
20,34,A-2110-324-6141-H/0025/2017,"PROYECTO EJECUTIVO AMPLIACION DE LA CARRETERA LEON - MANUEL DOBLADO, TRAMO DE LA VIA DEL FERROCARRIL A PARQUE INDUSTRIAL CIUDAD DE LEON.",6381931.8,30,1914579.54,Mar 22 2017 12:00AM,Apr  3 2017 12:00AM,Dec  1 2017 12:00AM,10,1,1,AMALIA 25/04/2017,EJECUCION,638,NULL,NULL,1,Mar 21 2017 12:00AM,3,OPM/MUN/003/2017,0,
21,33,B-5051-236-6141-D/0011/2017,REHABILITACION DE LA CALLE ATENEA,117185.82,0,0,Mar 27 2017 12:00AM,Apr  3 2017 12:00AM,Apr 22 2017 12:00AM,9,1,1,JORGE 26/04/2017,EJECUCION,206,NULL,NULL,2,Mar 24 2017 12:00AM,1,,0,
22,19,A-2510-314-6121-E/0016/2017,TECHO DIGNO COMUNIDAD CAPELLANIA DE LOERA,185645.84,0,0,Feb 27 2017 12:00AM,Mar  6 2017 12:00AM,Apr 15 2017 12:00AM,10,1,1,CAPTURO JORGE,EJECUCION,671,NULL,NULL,1,Dec 15 2016 12:00AM,1,,0,
23,43,A-2510-314-6141-D/0057/2017,"OBRAS COMPLEMENTARIAS DE LA CALLE RACING TRAMO: BOTAFOGO - REAL SOCIEDAD, COL. DEPORTIVA II.",146121.67,0,0,Apr  6 2017 12:00AM,Apr 10 2017 12:00AM,Apr 22 2017 12:00AM,10,1,1,27/ABR/2017 XOCH,EJECUCION,607,NULL,NULL,1,Mar 17 2017 12:00AM,1,,0,
24,46,A-1810-301-6151-D/0069/2017,"REVESTIMIENTO DE LOS CAMINOS: OJO DE AGUA TRAMO: FRACC. LA PERA A RAMAL EL GIGANTE; IBARRILLA TRAMO: EMBOVEDADO DE PUENTE  A KM. 2+600; RAMAL GUANAJUATITO TRAMO: CARRETERA LEON – SAN FELIPE KM. 9 AL 3 + 600 Y RAMAL ZAUCO TRAMO: CARRETERA LEON – SAN FELIPE KM. 11 AL 5 + 000, LOCALIDAD LEON, GTO.",1229232.29,0,0,Apr  7 2017 12:00AM,Apr 10 2017 12:00AM,Apr 22 2017 12:00AM,10,1,1,27-abr-17,EJECUCION,522,NULL,NULL,1,Apr  6 2017 12:00AM,1,,0,
25,22,A-2510-315-6141-H/0002/2017-1,"PROYECTO EJECUTIVO DE LA CALLE: BLVD. HACIENDAS DE LEON TRAMO: AV. OLIMPICA - BLVD. SAN NICOLAS, DE LA LOCALIDAD VILLAS DE SAN JUAN",129092.65,0,0,Feb 17 2017 12:00AM,Mar  6 2017 12:00AM,Jun 24 2017 12:00AM,10,1,1,28/ABR/2017 XOCH,EJECUCION,588,NULL,NULL,1,Dec 27 2016 12:00AM,1,,0,
26,23,A-2510-315-6141-H/0002/2017-2,"PROYECTO EJECUTIVO DE LA CALLE: GRANJA DE SAN JUAN TRAMO: AV. OLIMPICA - BLVD. SAN NICOLAS, DE LA LOCALIDAD VILLAS DE SAN JUAN",99424.13,0,0,Feb 17 2017 12:00AM,Mar  6 2017 12:00AM,Jun 24 2017 12:00AM,10,1,1,28/ABR/2017 XOCH,EJECUCION,588,NULL,NULL,1,Dec 27 2016 12:00AM,1,,0,
27,25,A-2510-315-6141-H/0002/2017-3,"PROYECTO EJECUTIVO DE LA CALLE: BLVD. SAN NICOLAS TRAMO: HACIENDA DE LEON - AV. OLIMPICA, DE LA LOCALIDAD VILLAS DE SAN JUAN",138879.21,0,0,Feb 17 2017 12:00AM,Mar  6 2017 12:00AM,Jun 24 2017 12:00AM,10,1,1,28/ABR/2017 XOCH,EJECUCION,588,NULL,NULL,1,Dec 27 2016 12:00AM,1,,0,
28,26,A-2510-315-6141-H/0002/2017-4,"PROYECTO EJECUTIVO DE LA CALLE: AMAZONITA TRAMO: BLVD. VILLAS DE SAN JUAN - TOPAR LADO NORTE, DE LA LOCALIDAD VILLAS DE SAN JUAN",130199.05,0,0,Feb 17 2017 12:00AM,Mar  6 2017 12:00AM,Jun 24 2017 12:00AM,10,1,1,28/ABR/2017 XOCH,EJECUCION,588,NULL,NULL,1,Dec 27 2016 12:00AM,1,,0,
29,27,A-2510-315-6141-H/0002/2017-5,"PROYECTO EJECUTIVO DE LA CALLE: FARO DE SAN JUAN TRAMO: AV. OLIMPICA - BLVD. SAN NICOLAS, DE LA LOCALIDAD VILLAS DE SAN JUAN",112834.44,0,0,Feb 17 2017 12:00AM,Mar  6 2017 12:00AM,Jun 24 2017 12:00AM,10,1,1,28/ABR/2017 XOCH,EJECUCION,588,NULL,NULL,1,Dec 27 2016 12:00AM,1,,0,
30,42,A-2510-313-6141-D/0030/2017,"MEJORAMIENTO DE LA IMAGEN URBANA DEL BLVD. HIDALGO, LEON, GTO. TRAMO: BLVD. JOSE MARIA MORELOS A ENTRONQUE A CARRETERA SAN FELIPE, UBICACIÓN: VARIAS COLONIAS.",8889936.75,30,2666981,Mar 29 2017 12:00AM,Mar 30 2017 12:00AM,Aug 14 2017 12:00AM,10,1,1,AMALIA 28/04/2017,EJECUCION,678,NULL,NULL,1,Mar 27 2017 12:00AM,3,OPM/MUN/004/2017,0,
31,53,A-2110-324-6141-H/0035/2017,"PROYECTO EJECUTIVO DE AMPLIACION DE LA AV. PROLONGACION JUAREZ, TRAMO: GLORIETA TIMOTEO LOZANO A CRUCE DE FERROCARRILES, CIUDAD DE LEON, GTO.",1892237.17,30,567671.15,Mar 31 2017 12:00AM,Apr  3 2017 12:00AM,Sep 30 2017 12:00AM,10,1,1,AMALIA 28/04/2017,EJECUCION,420,NULL,NULL,1,Mar 30 2017 12:00AM,1,DGOP/0030/CONT/2017,0,
32,54,A-2510-313-6141-D/0060/2017,PAVIMENTACION DEL CAMELLÓN CENTRAL EN BLVD. LAS JOYAS PARA ACCESO PROVISIONAL DEL CAMINO CORRAL DE PIEDRA. ,215135.55,30,64540.66,Apr  7 2017 12:00AM,Apr 24 2017 12:00AM,May 27 2017 12:00AM,10,1,1,AMALIA 28/04/2017,EJECUCION,679,NULL,NULL,1,Mar 27 2017 12:00AM,1,DGOP/0029/CONT/2017,0,
33,30,A-2510-310-6141-C/0012/2017,REUBICACION DE POSTE EN LA COMUNIDAD DE ALBARRADONES EN ESQUINA PRINCIPAL Y SALIDA A LA COMUNIDAD DE ZARAGOZA.,25289.91,0,0,Feb 17 2017 12:00AM,Feb 27 2017 12:00AM,Mar 18 2017 12:00AM,10,1,1,02/05/2017 GRISELDA,EJECUCION,26,NULL,NULL,1,Dec 27 2016 12:00AM,1,,0,
34,55,A-2510-314-6121-C/0022/2017,REHABILITACION DE LA PLAZA EN COLONIA LEON 1 TRAMO: CALLE NICOLAS CALVO Y ANDRES QUINTANA ROO.,216669.35,30,65000.8,Mar 16 2017 12:00AM,Mar 27 2017 12:00AM,Apr 29 2017 12:00AM,10,1,1,02/05/2017 GRISELDA,EJECUCION,514,NULL,NULL,1,Dec 27 2016 12:00AM,1,,0,
35,47,A-2510-315-6141-H/0027/2017-1,PROYECTO EJECUTIVO DE LA CALLE FELIX ROMERO TRAMO: JOSE MARIA BRITOS - JOAQUIN VILLALOBOS COLONIA PERIODISTAS MEXICANOS,134055.9,30,40216.77,Mar 27 2017 12:00AM,Apr 10 2017 12:00AM,Jun  3 2017 12:00AM,10,1,1,02/05/2017 GRISELDA,EJECUCION,680,NULL,NULL,1,Mar 13 2017 12:00AM,1,,0,
36,48,A-2510-315-6141-H/0027/2017-2,PROYECTO EJECUTIVO DE LA CALLE ROA BARCENAS TRAMO: F. LOMBARDO - J. MARIA TORNEL; COLONIA PERIODISTAS MEXICANOS,126256.57,30,37876.97,Mar 27 2017 12:00AM,Apr 10 2017 12:00AM,Jun  3 2017 12:00AM,10,1,1,02/05/2017 GRISELDA,EJECUCION,680,NULL,NULL,1,Mar 13 2017 12:00AM,1,,0,
37,50,A-2510-315-6141-H/0027/2017-3,PROYECTO EJECUTIVO DE LA CALLE HEGEL TRAMO: BALCONES DE LA JOYA - GALILEO COLONIA PERIODISTAS MEXICANOS,215217.15,30,64565.15,Mar 27 2017 12:00AM,Apr 10 2017 12:00AM,Jun  6 2017 12:00AM,10,1,1,02/05/2017 GRISELDA,EJECUCION,680,NULL,NULL,1,Mar 13 2017 12:00AM,1,,0,
38,51,A-2510-315-6141-H/0027/2017-4,PROYECTO EJECUTIVO DE LA CALLE FROMM TRAMO: GALILEO - PASCAL COLONIA PERIODISTAS MEXICANOS,142717,30,42815.1,Mar 27 2017 12:00AM,Apr 10 2017 12:00AM,Jun  3 2017 12:00AM,10,1,1,02/05/2017 GRISELDA,EJECUCION,680,NULL,NULL,1,Mar 13 2017 12:00AM,1,,0,
39,56,A-2510-315-6121-H/0062/2017,"DIAGNOSTICO Y PROPUESTA DE MEJORA DE IMAGEN URBANA DEL BLVD. MIGUEL DE CERVANTES SAAVEDRA TRAMO: BLVD. MARIANO ESCOBEDO A BLVD. TORRES LANDA, LEON GTO.",115485.28,0,0,Mar 17 2017 12:00AM,Apr 10 2017 12:00AM,May  6 2017 12:00AM,10,1,1,02/05/2017 GRISELDA,EJECUCION,640,NULL,NULL,1,May  2 2017 12:00AM,1,,0,
40,40,A-2510-313-6141-D/0059/2017,REHABILITACION Y MEJORA DE IMAGEN URBANA ACCESO DE LAGOS DE MORENO,9512732.68,30,2853819.8,Apr  7 2017 12:00AM,Apr 17 2017 12:00AM,Jul 31 2017 12:00AM,10,1,1,CLAU 03/05/2017,EJECUCION,16,NULL,NULL,1,May  3 2017 12:00AM,3,OPM/MUN/005/2017,0,
41,35,A-2510-315-6141-H/0029/2017-1,PROYECTO EJECUTIVO DE LA CALLE: MISIONES DE LA INDIA TRAMO: BLVD HIDALGO-ARTICULO DE FE COL. SAN JAVIER.,174279.32,30,52283.8,Mar 31 2017 12:00AM,Apr 17 2017 12:00AM,Jun 10 2017 12:00AM,10,1,1,CLAU 03/05/2017,EJECUCION,545,NULL,NULL,1,Mar 13 2017 12:00AM,1,DGOP/0011/CONT/2017,0,
42,36,A-2510-315-6141-H/0029/2017-2,PROYECTO EJECUTIVO DE LA CALLE VALLECILLO TRAMO: CERRALVO-TOPAR COL. NUEVO LEON,134055.9,30,40216.77,Mar 31 2017 12:00AM,Apr 17 2017 12:00AM,Jun 10 2017 12:00AM,10,1,1,CLAU 03/05/2017,EJECUCION,545,NULL,NULL,1,Mar 13 2017 12:00AM,1,DGOP/011/CONT/2017,0,
43,37,A-2510-315-6141-H/0029/2017-3,PROYECTO EJECUTIVO DE LA CALLE ARTURO VILLEGAS TORRES TRAMO: GUADALUPE NUÑEZ-AV. RODOLFO PADILLA COL. LEON I ,160008.65,30,48002.59,Mar 31 2017 12:00AM,Apr 17 2017 12:00AM,Jun 10 2017 12:00AM,10,1,1,,EJECUCION,545,NULL,NULL,1,Mar 13 2017 12:00AM,1,DGOP/0011/CONT/2017,0,
44,38,A-2510-315-6141-H/0029/2017-4,PROYECTO EJECUTIVO DE LA CALLE CERRO DEL ZOYATE TRAMO: MADRE MAURA -MADRE RAQUEL COL. 10 DE MAYO,134055.9,30,40216.77,Mar 31 2017 12:00AM,Apr 17 2017 12:00AM,Jun 10 2017 12:00AM,10,1,1,CLAU 03/05/201704/MAY/17 XOCH ADENDUM MODIF TRAMO DECÍA: MADRE AURA-MADRE RAQUEL Y DEBE DECIR: MADRE MAURA-MADRE RAQUEL,EJECUCION,545,NULL,NULL,1,Mar 13 2017 12:00AM,1,DGOP/0011/CONT/2017,0,
45,39,A-2510-311-6271-H/0034/2017,"ASESORÍA, GERENCIAMIENTO Y CONSULTORIA PARA LA IMPLEMENTACION DEL PROYECTO PARA LA MODERNIZACION DEL SISTEMA DE ALUMBRADO PUBLICO.",1482919.56,30,444875.86,Mar 31 2017 12:00AM,Apr  3 2017 12:00AM,Jul 29 2017 12:00AM,10,1,1,CLAU 03/05/2017,EJECUCION,681,NULL,NULL,1,Mar 30 2017 12:00AM,1,DGOP/0033/CONT/2017,0,
46,41,A-2510-315-6121-H/0064/2017,PROYECTO DIAGNOSTICO Y PROPUESTA DE MEJORA DE IMAGEN URBANA DEL BLVD. HERMANOS ALDAMA TRAMO: DE AV. ACABADORES AL ACCESO A LA UNAM.,77863.11,0,0,Apr  7 2017 12:00AM,Apr 17 2017 12:00AM,May 27 2017 12:00AM,10,1,1,CLAU 05/03/23017,EJECUCION,529,NULL,NULL,1,Mar 17 2017 12:00AM,1,,0,
47,21,A-2510-315-6141-H/0021/2017,PROYECTO EJECUTIVO DEL BLVD. CALIOPE TRAMO: PAVIMENTO EXISTENTE - BLVD. CALCOPIRITA.,1206030.2,30,361809.06,Mar 14 2017 12:00AM,Mar 27 2017 12:00AM,Jul 15 2017 12:00AM,10,1,1,,EJECUCION,294,NULL,NULL,1,Feb  9 2017 12:00AM,1,,0,
48,15,A-2510-315-6141-H/0026/2017-1,PROYECTO EJECUTIVO DE LAS CALLES DEL CERCO TRAMO: DE BALUARTES - TRONERAS COL. DEL CASTILLO,97620.14,0,0,Mar 22 2017 12:00AM,Apr  3 2017 12:00AM,May 27 2017 12:00AM,10,1,1,,EJECUCION,588,NULL,NULL,1,Mar 13 2017 12:00AM,1,,0,
49,16,A-2510-315-6141-H/0026/2017-2,PROYECTO EJECUTIVO DE LA CALLE TIBET TRAMO: JAIPUR - BARODA COL. LA INDIA,112834.44,0,0,Mar 22 2017 12:00AM,Apr  3 2017 12:00AM,May 27 2017 12:00AM,10,1,1,,EJECUCION,588,NULL,NULL,1,Mar 13 2017 12:00AM,1,,0,
50,17,A-2510-315-6141-H/0026/2017-3,PROYECTO EJECUTIVO DE LA CALLE BENGALA TRAMO: JAIPUR - BARODA COL. LA INDIA ,126256.57,0,0,Mar 22 2017 12:00AM,Apr  3 2017 12:00AM,May 27 2017 12:00AM,10,1,1,,EJECUCION,588,NULL,NULL,1,Mar 13 2017 12:00AM,1,,0,
51,18,A-2510-315-6141-H/0026/2017-4,PROYECTO EJECUTIVO DE LA CALLE CALCUTA TRAMO: TIBET - SARDENETA COL. LA INDIA.,144256.28,0,0,Mar 22 2017 12:00AM,Apr  3 2017 12:00AM,May 27 2017 12:00AM,10,1,1,,EJECUCION,588,NULL,NULL,1,Mar 13 2017 12:00AM,1,,0,
52,52,A-2510-315-6221-H/0033/2017,PROYECTO DE ADECUACIÓN DE COCINA ECONÓMICA CON MODELO DE ORGANIZACIÓN DE COMEDOR COMUNITARIO EN LA COL. REAL DE LA JOYA,226056.82,30,67817.05,Mar 31 2017 12:00AM,Apr 17 2017 12:00AM,Jun 24 2017 12:00AM,10,1,1,ANA LAURA 04/05/2017,EJECUCION,167,NULL,NULL,1,Mar 24 2017 12:00AM,1,DGOP/0027/CONT/2017,0,
55,49,A-2510-310-6141-D/0058/2017,"MANTENIMIENTO Y MEJORA A LA INFRAESTRUCTURA DE ALUMBRADO PÚBLICO EN ZONA 1 DE LA CIUDAD DE LEON, GTO.",1357867.02,30,407360.1,Apr  1 2017 12:00AM,Apr  3 2017 12:00AM,Sep 16 2017 12:00AM,10,1,1,04/05/2017 ANA LAURA,EJECUCION,126,NULL,NULL,1,Mar 30 2017 12:00AM,1,DGOP/0031/CONT/2017,0,
56,60,A-2510-315-6191-H/0032/2017,PROYECTO DE RESTAURACIÓN DEL TEMPLO DE NUESTRA SEÑORA DE LOS ANGELES.,324046.21,0,0,Mar 31 2017 12:00AM,Apr 17 2017 12:00AM,Jun 10 2017 12:00AM,10,1,1,05/MAY/2017 XOCH,EJECUCION,654,NULL,NULL,1,Mar 24 2017 12:00AM,1,,0,
57,14,A-2510-346-6141-H/0017/2017,"DIAGNOSTICO Y PROPUESTA DE MEJORAMIENTO DE LA INFRAESTRUCTURA VIAL E IMAGEN URBANA EN ELE BLVD. SAN JUAN BOSCO EN SU TRAMO DEL BLVD. LAS TORRES A BLVD. ARISTOTELES, LEÓN, GTO. ",323915.02,30,97174.51,Mar  2 2017 12:00AM,Mar 13 2017 12:00AM,Apr 15 2017 12:00AM,10,1,1,GRISELDA 08/05/2017,EJECUCION,287,NULL,NULL,1,Feb 14 2017 12:00AM,1,,0,
58,57,B-5051-236-6141-H/003/2017-1,PROYECTO EJECUTIVO DE LAS CALLES PRESA DEL VALLADO TRAMO: PROL. HILARIO MEDINA - PRESA DE LA SELVA COL. EL CONSUELO OCTAVA FRACCIÓN,135172.71,30,40551.81,Jan 24 2017 12:00AM,Feb 13 2017 12:00AM,Jun  3 2017 12:00AM,10,1,1,11/05/2017 ANA LAURA,EJECUCION,676,NULL,NULL,2,Dec 15 2016 12:00AM,1,DGOP/00397/CONT/2016,0,
59,65,B-5051-236-6141-H/003/2017-2,PROYECTO EJECUTIVO DE LA CALLE IER. ANDADOR FAJARDO TRAMO: FAJARDO - PALO ALTO COL. EL PALOTE.,98074.28,30,29422.29,Jan 24 2017 12:00AM,Feb 13 2017 12:00AM,Jun  3 2017 12:00AM,10,1,1,11/05/2017 ANA LAURA,EJECUCION,676,NULL,NULL,2,Dec 15 2016 12:00AM,1,DGOP/00397/CONT/2016,0,
60,63,B-5051-236-6141-H/0061/2017-1,PROYECTO EJECUTIVO DE LA CALLE DULCINEA DE TOBOSO TRAMO HENO - PASEO DE LA PRESA COL. VALLE HERMOSO,142716.99,30,42815.1,Apr  7 2017 12:00AM,Apr 24 2017 12:00AM,Jun 17 2017 12:00AM,9,1,1,11/MAY/2017 XOCH,EJECUCION,271,NULL,NULL,2,Mar 13 2017 12:00AM,1,,0,
63,64,A-2510-315-6271-H/0065/2017,ADECUACIÓN DEL PROYECTO DE VOZ Y DATOS DE LOS PARADEROS BLVD. ADOLFO LOPEZ MATEOS Y BLVD. HIDALGO,36165.22,0,0,Apr 14 2017 12:00AM,Apr 24 2017 12:00AM,May 27 2017 12:00AM,10,1,1,AMALIA 17/05/2017,EJECUCION,539,NULL,NULL,1,Apr  6 2017 12:00AM,1,,0,
64,62,A-2510-315-6121-H/0067/2017,"DIAGNOSTICO Y PROPUESTA DE MEJORA DE IMAGEN URBANA DEL BLVD. GONZALEZ BOCANEGRA EN EL TRAMO DE BLVD. TEPEYAC A MALECON DEL RIO DE LOS GOMEZ, LEON GTO.",138109.84,0,0,Apr 14 2017 12:00AM,Apr 24 2017 12:00AM,May 20 2017 12:00AM,10,1,1,GRISELDA 17/05/2017,EJECUCION,640,NULL,NULL,1,Apr  5 2017 12:00AM,1,,0,
65,74,A-1810-301-6151-D/0074/2017,"REVESTIMIENTO DE LOS CAMINOS: DUARTE, TRAMO: DUARTE – LAS COLORADAS – CUESTA BLANCA – MANGAS DE LA ESTANCIA; DUARTE, TRAMO: DUARTE A CARRETERA ESTATAL A COMANJILLA; ACCESO AL AUTODROMO, TRAMO: DE CALLE PRINCIPAL A PUENTE DEL MILENIO Y CAMINO ALFARO, TRAMO: FRACC. BOSQUES DEL PEDREGAL A COL. LOMAS DE MEDINA LEON, GTO.",1103465.75,0,0,May  2 2017 12:00AM,May  8 2017 12:00AM,May 13 2017 12:00AM,10,1,1,CLAU 19/05/2017,EJECUCION,347,NULL,NULL,1,May 19 2017 12:00AM,1,DGOP/0021/CONT/2017,0,
66,67,A-2110-350-6271-E/0076/2017,"REHABILITACION Y MODERNIZACION DEL MERCADO LA ESPERANZA EN LA COLONIA 10 DE MAYO EN EL MUNICIPIO DE LEON, GUANAJUATO (2DA. ETAPA)",2823971.8,30,847191.54,May  2 2017 12:00AM,May  8 2017 12:00AM,Jul  8 2017 12:00AM,10,1,1,JORGE 22/05/2017,EJECUCION,19,NULL,NULL,1,May  2 2017 12:00AM,2,,0,
